@relation poker-hand-training-true

@attribute 'Farbe Karte 1' {Herz,Pik,Karo,Kreuz}
@attribute 'Wert Karte 1' numeric
@attribute 'Farbe Karte 2' {Herz,Pik,Karo,Kreuz}
@attribute 'Wert Karte 2' numeric
@attribute 'Farbe Karte 3' {Herz,Pik,Karo,Kreuz}
@attribute 'Wert Karte 3' numeric
@attribute 'Farbe Karte 4' {Herz,Pik,Karo,Kreuz}
@attribute 'Wert Karte 4' numeric
@attribute 'Farbe Karte 5' {Herz,Pik,Karo,Kreuz}
@attribute 'Wert Karte 5' numeric
@attribute 'Poker Hand' {'Royal Flush','Straight Flush','Ein Paar','Hoechste Karte',Strasse,Drilling,'Zwei Paar',Flush,'Full House',Vierling}

@data
Herz,4,Karo,3,Pik,7,Karo,5,Herz,10,'Hoechste Karte'
Pik,7,Kreuz,1,Kreuz,8,Pik,1,Pik,2,'Ein Paar'
Karo,3,Herz,4,Kreuz,8,Karo,11,Pik,8,'Ein Paar'
Karo,7,Pik,5,Pik,12,Karo,5,Herz,4,'Ein Paar'
Kreuz,11,Pik,3,Karo,6,Herz,8,Kreuz,2,'Hoechste Karte'
Kreuz,4,Pik,6,Karo,6,Herz,3,Pik,5,'Ein Paar'
Kreuz,3,Pik,10,Kreuz,8,Kreuz,5,Herz,9,'Hoechste Karte'
Karo,12,Karo,5,Herz,7,Karo,6,Kreuz,12,'Ein Paar'
Herz,5,Kreuz,10,Herz,6,Herz,11,Karo,2,'Hoechste Karte'
Karo,5,Pik,6,Pik,2,Herz,8,Pik,3,'Hoechste Karte'
Karo,2,Karo,13,Herz,5,Pik,11,Karo,12,'Hoechste Karte'
Herz,7,Kreuz,9,Pik,3,Kreuz,11,Pik,1,'Hoechste Karte'
Herz,12,Kreuz,12,Pik,4,Pik,1,Kreuz,3,'Ein Paar'
Karo,4,Karo,8,Herz,10,Karo,1,Pik,2,'Hoechste Karte'
Karo,13,Kreuz,6,Karo,7,Karo,12,Karo,4,'Hoechste Karte'
Kreuz,8,Karo,9,Pik,11,Pik,10,Karo,1,'Hoechste Karte'
Karo,2,Karo,11,Kreuz,3,Pik,4,Kreuz,8,'Hoechste Karte'
Herz,6,Kreuz,11,Kreuz,10,Kreuz,4,Pik,11,'Ein Paar'
Kreuz,12,Karo,11,Pik,12,Karo,5,Kreuz,9,'Ein Paar'
Pik,2,Pik,13,Kreuz,12,Pik,1,Karo,1,'Ein Paar'
Karo,6,Herz,3,Karo,13,Kreuz,11,Kreuz,13,'Ein Paar'
Herz,1,Karo,4,Herz,7,Herz,3,Karo,11,'Hoechste Karte'
Kreuz,2,Herz,9,Herz,3,Pik,1,Kreuz,10,'Hoechste Karte'
Pik,6,Herz,9,Herz,2,Herz,12,Pik,1,'Hoechste Karte'
Kreuz,12,Pik,12,Pik,7,Pik,4,Herz,6,'Ein Paar'
Karo,12,Karo,3,Herz,6,Pik,7,Kreuz,9,'Hoechste Karte'
Karo,13,Herz,2,Kreuz,4,Kreuz,2,Karo,12,'Ein Paar'
Herz,4,Kreuz,7,Karo,8,Pik,9,Karo,6,'Hoechste Karte'
Pik,13,Kreuz,1,Herz,1,Karo,5,Herz,4,'Ein Paar'
Herz,7,Karo,5,Herz,11,Herz,3,Herz,10,'Hoechste Karte'
Kreuz,6,Kreuz,11,Pik,10,Herz,3,Herz,13,'Hoechste Karte'
Pik,5,Karo,7,Kreuz,8,Karo,5,Karo,12,'Ein Paar'
Karo,12,Kreuz,9,Karo,8,Herz,9,Pik,6,'Ein Paar'
Herz,3,Karo,1,Pik,12,Kreuz,7,Herz,11,'Hoechste Karte'
Karo,11,Herz,6,Herz,13,Pik,10,Pik,4,'Hoechste Karte'
Pik,11,Karo,10,Herz,13,Pik,7,Herz,7,'Ein Paar'
Kreuz,7,Karo,7,Kreuz,8,Karo,5,Herz,12,'Ein Paar'
Karo,6,Karo,2,Kreuz,8,Kreuz,7,Kreuz,10,'Hoechste Karte'
Herz,1,Karo,4,Karo,2,Herz,11,Karo,13,'Hoechste Karte'
Herz,8,Kreuz,5,Pik,13,Herz,7,Kreuz,2,'Hoechste Karte'
Pik,3,Kreuz,10,Kreuz,12,Herz,8,Karo,10,'Ein Paar'
Pik,13,Pik,7,Kreuz,7,Kreuz,4,Herz,5,'Ein Paar'
Herz,2,Pik,7,Pik,5,Karo,11,Kreuz,1,'Hoechste Karte'
Herz,2,Herz,4,Herz,12,Pik,9,Kreuz,13,'Hoechste Karte'
Kreuz,12,Karo,11,Pik,1,Pik,8,Karo,7,'Hoechste Karte'
Karo,5,Karo,6,Herz,5,Kreuz,12,Kreuz,10,'Ein Paar'
Pik,8,Herz,3,Pik,3,Karo,13,Kreuz,5,'Ein Paar'
Pik,1,Karo,11,Kreuz,12,Pik,12,Pik,8,'Ein Paar'
Herz,10,Kreuz,6,Pik,1,Kreuz,13,Pik,7,'Hoechste Karte'
Karo,13,Pik,9,Pik,10,Pik,7,Karo,2,'Hoechste Karte'
Kreuz,4,Karo,8,Pik,2,Pik,6,Pik,7,'Hoechste Karte'
Karo,1,Karo,5,Karo,7,Herz,1,Herz,6,'Ein Paar'
Kreuz,8,Pik,9,Karo,3,Karo,12,Kreuz,1,'Hoechste Karte'
Herz,7,Kreuz,5,Kreuz,6,Herz,11,Herz,2,'Hoechste Karte'
Pik,8,Kreuz,10,Herz,13,Pik,6,Kreuz,1,'Hoechste Karte'
Herz,1,Herz,12,Pik,8,Pik,13,Karo,3,'Hoechste Karte'
Karo,5,Kreuz,12,Herz,1,Karo,10,Pik,12,'Ein Paar'
Herz,6,Kreuz,6,Pik,13,Karo,12,Pik,9,'Ein Paar'
Kreuz,1,Herz,4,Kreuz,11,Herz,5,Pik,10,'Hoechste Karte'
Karo,7,Pik,7,Pik,4,Karo,11,Herz,11,'Zwei Paar'
Karo,3,Kreuz,12,Pik,8,Kreuz,3,Herz,12,'Zwei Paar'
Herz,6,Pik,8,Pik,7,Pik,5,Pik,3,'Hoechste Karte'
Kreuz,10,Pik,2,Karo,9,Karo,3,Herz,6,'Hoechste Karte'
Kreuz,8,Karo,3,Pik,3,Kreuz,3,Pik,7,Drilling
Pik,1,Kreuz,6,Karo,7,Kreuz,10,Kreuz,2,'Hoechste Karte'
Herz,11,Pik,5,Herz,4,Karo,7,Herz,12,'Hoechste Karte'
Herz,2,Karo,6,Pik,5,Pik,2,Pik,9,'Ein Paar'
Kreuz,2,Herz,11,Pik,1,Kreuz,8,Kreuz,5,'Hoechste Karte'
Karo,4,Pik,10,Pik,9,Herz,12,Karo,3,'Hoechste Karte'
Herz,1,Pik,5,Kreuz,9,Karo,12,Karo,3,'Hoechste Karte'
Kreuz,4,Karo,7,Herz,4,Pik,5,Pik,10,'Ein Paar'
Pik,9,Pik,6,Pik,2,Herz,7,Karo,12,'Hoechste Karte'
Karo,10,Herz,12,Karo,5,Herz,6,Pik,9,'Hoechste Karte'
Karo,4,Karo,9,Kreuz,12,Kreuz,11,Karo,2,'Hoechste Karte'
Herz,7,Herz,12,Kreuz,12,Kreuz,2,Herz,3,'Ein Paar'
Herz,12,Kreuz,3,Karo,7,Kreuz,7,Pik,5,'Ein Paar'
Pik,12,Karo,3,Herz,2,Herz,7,Kreuz,7,'Ein Paar'
Herz,3,Herz,2,Pik,1,Kreuz,7,Kreuz,9,'Hoechste Karte'
Herz,11,Karo,5,Karo,9,Karo,7,Herz,6,'Hoechste Karte'
Kreuz,2,Kreuz,12,Karo,6,Herz,8,Kreuz,10,'Hoechste Karte'
Herz,7,Karo,4,Kreuz,12,Herz,3,Kreuz,7,'Ein Paar'
Karo,5,Pik,13,Karo,3,Kreuz,7,Pik,8,'Hoechste Karte'
Kreuz,13,Karo,9,Karo,5,Herz,6,Herz,5,'Ein Paar'
Herz,1,Herz,9,Kreuz,2,Pik,4,Kreuz,11,'Hoechste Karte'
Kreuz,2,Kreuz,7,Pik,12,Herz,10,Pik,4,'Hoechste Karte'
Herz,10,Pik,6,Karo,4,Pik,10,Pik,9,'Ein Paar'
Pik,3,Karo,9,Herz,3,Pik,4,Pik,7,'Ein Paar'
Kreuz,10,Kreuz,9,Herz,8,Kreuz,8,Kreuz,5,'Ein Paar'
Kreuz,11,Herz,4,Kreuz,12,Pik,2,Herz,13,'Hoechste Karte'
Pik,3,Herz,12,Herz,3,Herz,11,Kreuz,9,'Ein Paar'
Herz,10,Herz,3,Kreuz,8,Herz,7,Pik,11,'Hoechste Karte'
Pik,11,Pik,1,Pik,9,Herz,6,Pik,2,'Hoechste Karte'
Pik,12,Kreuz,13,Herz,3,Pik,11,Kreuz,7,'Hoechste Karte'
Karo,4,Herz,9,Pik,4,Herz,3,Herz,1,'Ein Paar'
Herz,4,Pik,4,Herz,2,Kreuz,6,Herz,10,'Ein Paar'
Pik,12,Karo,10,Pik,1,Herz,8,Pik,2,'Hoechste Karte'
Herz,1,Karo,6,Karo,7,Kreuz,11,Herz,13,'Hoechste Karte'
Karo,11,Herz,2,Karo,6,Kreuz,7,Pik,9,'Hoechste Karte'
Herz,13,Karo,9,Herz,9,Karo,7,Kreuz,9,Drilling
Herz,8,Karo,6,Kreuz,4,Pik,8,Karo,1,'Ein Paar'
Pik,9,Kreuz,4,Herz,9,Pik,5,Kreuz,7,'Ein Paar'
Karo,13,Kreuz,7,Pik,10,Karo,5,Pik,4,'Hoechste Karte'
Herz,7,Herz,9,Pik,13,Karo,7,Karo,5,'Ein Paar'
Kreuz,12,Herz,10,Kreuz,7,Karo,13,Pik,8,'Hoechste Karte'
Pik,1,Herz,2,Karo,5,Pik,10,Kreuz,1,'Ein Paar'
Karo,12,Kreuz,7,Kreuz,6,Kreuz,9,Herz,5,'Hoechste Karte'
Herz,3,Kreuz,4,Karo,1,Pik,9,Herz,2,'Hoechste Karte'
Kreuz,6,Kreuz,13,Pik,5,Pik,13,Pik,2,'Ein Paar'
Kreuz,10,Herz,3,Kreuz,9,Karo,3,Herz,10,'Zwei Paar'
Pik,3,Herz,5,Pik,4,Pik,6,Herz,4,'Ein Paar'
Karo,13,Kreuz,10,Pik,7,Karo,9,Herz,2,'Hoechste Karte'
Herz,5,Kreuz,2,Kreuz,6,Karo,2,Herz,12,'Ein Paar'
Pik,3,Herz,10,Herz,7,Pik,9,Herz,5,'Hoechste Karte'
Kreuz,2,Kreuz,11,Herz,10,Karo,12,Kreuz,13,'Hoechste Karte'
Pik,11,Herz,5,Kreuz,5,Kreuz,13,Kreuz,8,'Ein Paar'
Kreuz,3,Karo,1,Kreuz,2,Herz,11,Herz,2,'Ein Paar'
Karo,3,Kreuz,4,Pik,13,Karo,10,Kreuz,13,'Ein Paar'
Pik,12,Karo,3,Herz,7,Herz,8,Kreuz,1,'Hoechste Karte'
Kreuz,11,Herz,11,Herz,4,Pik,11,Karo,12,Drilling
Pik,1,Herz,11,Herz,2,Kreuz,2,Herz,3,'Ein Paar'
Herz,13,Karo,5,Herz,10,Karo,11,Kreuz,5,'Ein Paar'
Kreuz,12,Kreuz,6,Karo,2,Karo,8,Kreuz,1,'Hoechste Karte'
Kreuz,12,Herz,13,Herz,4,Kreuz,4,Herz,9,'Ein Paar'
Karo,6,Karo,1,Herz,10,Herz,3,Kreuz,11,'Hoechste Karte'
Kreuz,8,Pik,1,Kreuz,1,Herz,10,Pik,3,'Ein Paar'
Kreuz,11,Kreuz,7,Pik,10,Herz,9,Pik,12,'Hoechste Karte'
Kreuz,6,Karo,2,Pik,4,Karo,11,Herz,8,'Hoechste Karte'
Kreuz,11,Karo,8,Kreuz,12,Herz,13,Kreuz,7,'Hoechste Karte'
Karo,5,Karo,9,Karo,1,Kreuz,5,Pik,2,'Ein Paar'
Kreuz,13,Pik,6,Kreuz,12,Pik,1,Herz,11,'Hoechste Karte'
Karo,3,Kreuz,3,Pik,12,Pik,9,Herz,6,'Ein Paar'
Kreuz,13,Kreuz,1,Pik,7,Kreuz,2,Kreuz,4,'Hoechste Karte'
Karo,4,Karo,2,Herz,8,Herz,11,Karo,12,'Hoechste Karte'
Karo,7,Kreuz,8,Karo,5,Pik,7,Herz,4,'Ein Paar'
Kreuz,10,Pik,7,Herz,1,Pik,12,Kreuz,13,'Hoechste Karte'
Karo,7,Herz,2,Pik,4,Pik,2,Karo,6,'Ein Paar'
Pik,4,Karo,10,Herz,4,Kreuz,7,Karo,6,'Ein Paar'
Pik,12,Karo,11,Kreuz,4,Herz,10,Herz,8,'Hoechste Karte'
Karo,3,Herz,10,Pik,4,Kreuz,6,Herz,3,'Ein Paar'
Kreuz,12,Kreuz,2,Herz,12,Kreuz,8,Pik,4,'Ein Paar'
Pik,5,Karo,4,Pik,8,Kreuz,8,Pik,12,'Ein Paar'
Kreuz,7,Karo,2,Pik,7,Herz,12,Kreuz,13,'Ein Paar'
Karo,7,Karo,3,Pik,11,Pik,1,Karo,10,'Hoechste Karte'
Pik,1,Herz,12,Karo,11,Karo,10,Pik,2,'Hoechste Karte'
Kreuz,10,Herz,13,Pik,6,Herz,11,Karo,3,'Hoechste Karte'
Herz,8,Karo,5,Herz,11,Kreuz,6,Herz,5,'Ein Paar'
Kreuz,1,Karo,5,Herz,5,Kreuz,6,Karo,2,'Ein Paar'
Karo,13,Herz,13,Pik,1,Pik,7,Kreuz,3,'Ein Paar'
Pik,1,Pik,6,Karo,7,Pik,9,Pik,7,'Ein Paar'
Pik,9,Pik,7,Kreuz,12,Karo,4,Karo,8,'Hoechste Karte'
Kreuz,6,Pik,6,Herz,10,Pik,7,Pik,12,'Ein Paar'
Karo,1,Karo,10,Pik,5,Herz,9,Karo,6,'Hoechste Karte'
Kreuz,7,Pik,10,Herz,4,Kreuz,9,Karo,5,'Hoechste Karte'
Karo,2,Kreuz,13,Karo,8,Pik,8,Karo,6,'Ein Paar'
Karo,11,Pik,4,Karo,9,Kreuz,7,Herz,2,'Hoechste Karte'
Herz,5,Pik,9,Herz,7,Pik,8,Kreuz,9,'Ein Paar'
Herz,9,Kreuz,9,Pik,13,Karo,4,Kreuz,11,'Ein Paar'
Kreuz,4,Herz,2,Karo,6,Pik,13,Karo,3,'Hoechste Karte'
Kreuz,10,Pik,5,Karo,9,Herz,7,Pik,12,'Hoechste Karte'
Karo,6,Kreuz,11,Pik,3,Karo,10,Kreuz,1,'Hoechste Karte'
Kreuz,6,Karo,5,Kreuz,3,Pik,11,Pik,4,'Hoechste Karte'
Herz,13,Herz,10,Kreuz,13,Kreuz,1,Herz,5,'Ein Paar'
Kreuz,3,Kreuz,8,Kreuz,5,Pik,6,Pik,5,'Ein Paar'
Karo,9,Kreuz,10,Karo,5,Pik,8,Kreuz,7,'Hoechste Karte'
Kreuz,13,Kreuz,11,Pik,6,Kreuz,12,Karo,13,'Ein Paar'
Karo,10,Karo,6,Kreuz,12,Karo,8,Herz,7,'Hoechste Karte'
Pik,1,Karo,6,Herz,12,Karo,3,Kreuz,13,'Hoechste Karte'
Karo,8,Pik,9,Herz,12,Kreuz,7,Kreuz,4,'Hoechste Karte'
Pik,9,Karo,12,Kreuz,3,Karo,6,Karo,11,'Hoechste Karte'
Kreuz,13,Kreuz,3,Kreuz,8,Karo,9,Pik,6,'Hoechste Karte'
Kreuz,9,Karo,10,Pik,9,Kreuz,13,Karo,4,'Ein Paar'
Karo,1,Karo,6,Pik,3,Herz,10,Herz,9,'Hoechste Karte'
Pik,11,Herz,1,Kreuz,2,Herz,6,Kreuz,9,'Hoechste Karte'
Pik,9,Karo,5,Herz,5,Pik,4,Kreuz,6,'Ein Paar'
Pik,12,Kreuz,3,Herz,6,Kreuz,13,Karo,4,'Hoechste Karte'
Karo,13,Herz,6,Kreuz,7,Karo,12,Kreuz,11,'Hoechste Karte'
Karo,4,Pik,10,Kreuz,7,Herz,12,Pik,8,'Hoechste Karte'
Herz,8,Herz,13,Pik,3,Pik,1,Kreuz,5,'Hoechste Karte'
Kreuz,10,Pik,2,Pik,5,Herz,8,Kreuz,7,'Hoechste Karte'
Karo,7,Herz,8,Kreuz,6,Kreuz,9,Kreuz,12,'Hoechste Karte'
Kreuz,1,Herz,9,Kreuz,8,Pik,12,Pik,5,'Hoechste Karte'
Karo,5,Pik,7,Kreuz,3,Karo,12,Pik,2,'Hoechste Karte'
Karo,2,Kreuz,5,Karo,6,Kreuz,1,Karo,5,'Ein Paar'
Karo,8,Kreuz,1,Herz,8,Pik,10,Herz,3,'Ein Paar'
Karo,6,Kreuz,1,Karo,4,Pik,2,Karo,3,'Hoechste Karte'
Kreuz,9,Karo,13,Kreuz,10,Kreuz,8,Herz,7,'Hoechste Karte'
Pik,7,Pik,8,Karo,13,Pik,13,Karo,2,'Ein Paar'
Kreuz,5,Pik,11,Kreuz,3,Pik,13,Herz,9,'Hoechste Karte'
Pik,11,Karo,13,Herz,6,Herz,2,Kreuz,1,'Hoechste Karte'
Kreuz,10,Karo,5,Kreuz,13,Karo,6,Kreuz,3,'Hoechste Karte'
Kreuz,9,Herz,1,Pik,9,Herz,13,Kreuz,11,'Ein Paar'
Herz,6,Kreuz,3,Kreuz,6,Herz,5,Herz,11,'Ein Paar'
Kreuz,13,Herz,11,Pik,9,Pik,4,Karo,2,'Hoechste Karte'
Herz,12,Pik,5,Pik,1,Karo,4,Karo,11,'Hoechste Karte'
Herz,13,Pik,2,Karo,4,Kreuz,2,Kreuz,10,'Ein Paar'
Pik,8,Karo,5,Herz,12,Herz,13,Herz,10,'Hoechste Karte'
Pik,8,Herz,12,Kreuz,7,Kreuz,2,Herz,8,'Ein Paar'
Herz,5,Kreuz,5,Pik,12,Kreuz,4,Karo,5,Drilling
Herz,6,Kreuz,9,Kreuz,8,Karo,8,Pik,10,'Ein Paar'
Karo,10,Karo,8,Kreuz,13,Kreuz,3,Karo,1,'Hoechste Karte'
Pik,10,Kreuz,4,Kreuz,9,Pik,2,Karo,1,'Hoechste Karte'
Herz,7,Kreuz,13,Herz,11,Karo,5,Karo,6,'Hoechste Karte'
Kreuz,13,Herz,6,Kreuz,2,Pik,12,Herz,4,'Hoechste Karte'
Pik,5,Herz,4,Kreuz,2,Herz,5,Herz,9,'Ein Paar'
Kreuz,5,Kreuz,13,Karo,2,Herz,7,Herz,1,'Hoechste Karte'
Kreuz,2,Kreuz,13,Pik,1,Kreuz,12,Pik,13,'Ein Paar'
Kreuz,12,Kreuz,7,Kreuz,2,Pik,13,Kreuz,6,'Hoechste Karte'
Pik,10,Herz,5,Kreuz,1,Kreuz,6,Herz,7,'Hoechste Karte'
Kreuz,13,Karo,6,Pik,6,Pik,13,Kreuz,2,'Zwei Paar'
Kreuz,9,Kreuz,1,Herz,4,Herz,12,Pik,9,'Ein Paar'
Karo,4,Karo,12,Herz,11,Herz,2,Kreuz,1,'Hoechste Karte'
Herz,11,Pik,9,Pik,11,Karo,3,Kreuz,4,'Ein Paar'
Karo,8,Karo,11,Pik,6,Kreuz,9,Herz,6,'Ein Paar'
Karo,12,Karo,3,Kreuz,1,Pik,6,Karo,9,'Hoechste Karte'
Karo,1,Herz,12,Kreuz,3,Karo,2,Kreuz,8,'Hoechste Karte'
Herz,2,Karo,8,Herz,3,Kreuz,4,Kreuz,5,'Hoechste Karte'
Pik,8,Kreuz,2,Herz,11,Karo,10,Karo,9,'Hoechste Karte'
Kreuz,6,Pik,12,Kreuz,9,Kreuz,13,Herz,12,'Ein Paar'
Karo,6,Kreuz,8,Herz,1,Karo,4,Herz,5,'Hoechste Karte'
Karo,7,Karo,1,Herz,3,Pik,7,Herz,10,'Ein Paar'
Karo,11,Herz,8,Karo,5,Herz,1,Kreuz,2,'Hoechste Karte'
Herz,11,Herz,7,Pik,2,Kreuz,7,Pik,13,'Ein Paar'
Karo,2,Kreuz,2,Herz,12,Pik,4,Kreuz,12,'Zwei Paar'
Pik,13,Herz,11,Kreuz,1,Herz,6,Pik,11,'Ein Paar'
Pik,10,Pik,7,Kreuz,4,Herz,4,Kreuz,1,'Ein Paar'
Pik,9,Karo,11,Pik,8,Herz,4,Kreuz,3,'Hoechste Karte'
Kreuz,1,Karo,7,Karo,10,Karo,1,Herz,10,'Zwei Paar'
Pik,7,Pik,13,Herz,11,Karo,9,Karo,10,'Hoechste Karte'
Pik,3,Kreuz,12,Kreuz,2,Karo,3,Herz,6,'Ein Paar'
Herz,8,Kreuz,4,Pik,12,Herz,4,Herz,12,'Zwei Paar'
Karo,3,Pik,8,Herz,10,Kreuz,2,Kreuz,1,'Hoechste Karte'
Kreuz,1,Kreuz,6,Karo,2,Pik,6,Herz,7,'Ein Paar'
Karo,1,Kreuz,3,Herz,12,Kreuz,8,Pik,1,'Ein Paar'
Pik,7,Kreuz,13,Karo,7,Pik,1,Kreuz,2,'Ein Paar'
Herz,6,Karo,9,Herz,3,Karo,3,Herz,1,'Ein Paar'
Herz,11,Herz,10,Kreuz,12,Karo,12,Kreuz,5,'Ein Paar'
Kreuz,4,Kreuz,1,Herz,10,Kreuz,3,Pik,13,'Hoechste Karte'
Kreuz,9,Herz,4,Pik,3,Karo,3,Karo,1,'Ein Paar'
Kreuz,3,Herz,1,Pik,9,Karo,11,Pik,2,'Hoechste Karte'
Karo,6,Karo,3,Pik,4,Herz,8,Pik,12,'Hoechste Karte'
Pik,3,Kreuz,1,Herz,7,Pik,13,Karo,1,'Ein Paar'
Herz,13,Herz,7,Herz,9,Pik,11,Herz,12,'Hoechste Karte'
Kreuz,1,Karo,13,Herz,13,Pik,2,Kreuz,12,'Ein Paar'
Herz,3,Pik,9,Herz,2,Pik,11,Kreuz,10,'Hoechste Karte'
Pik,5,Kreuz,12,Herz,9,Karo,9,Herz,5,'Zwei Paar'
Karo,13,Pik,12,Pik,8,Herz,6,Pik,3,'Hoechste Karte'
Pik,8,Herz,1,Pik,12,Karo,10,Pik,9,'Hoechste Karte'
Pik,7,Pik,2,Pik,8,Karo,7,Herz,11,'Ein Paar'
Karo,2,Kreuz,9,Kreuz,12,Herz,13,Pik,13,'Ein Paar'
Karo,7,Pik,8,Kreuz,11,Karo,9,Kreuz,10,Strasse
Karo,1,Kreuz,3,Herz,3,Kreuz,1,Herz,12,'Zwei Paar'
Herz,9,Karo,11,Kreuz,2,Pik,9,Kreuz,3,'Ein Paar'
Karo,7,Herz,12,Kreuz,10,Kreuz,1,Pik,9,'Hoechste Karte'
Karo,10,Karo,9,Pik,8,Pik,6,Pik,2,'Hoechste Karte'
Pik,12,Karo,11,Herz,3,Kreuz,5,Pik,11,'Ein Paar'
Pik,3,Kreuz,12,Kreuz,7,Pik,11,Karo,12,'Ein Paar'
Kreuz,8,Herz,11,Herz,4,Kreuz,11,Karo,13,'Ein Paar'
Kreuz,9,Herz,10,Kreuz,11,Herz,7,Pik,6,'Hoechste Karte'
Karo,11,Herz,7,Herz,9,Pik,5,Karo,5,'Ein Paar'
Karo,9,Karo,10,Karo,7,Karo,8,Karo,4,Flush
Herz,1,Karo,8,Herz,12,Herz,11,Pik,2,'Hoechste Karte'
Pik,4,Pik,8,Karo,13,Pik,3,Pik,2,'Hoechste Karte'
Karo,11,Herz,2,Pik,10,Kreuz,11,Kreuz,6,'Ein Paar'
Pik,6,Kreuz,6,Karo,4,Kreuz,10,Kreuz,5,'Ein Paar'
Herz,3,Karo,10,Kreuz,13,Kreuz,2,Kreuz,12,'Hoechste Karte'
Kreuz,6,Karo,6,Herz,3,Pik,12,Herz,2,'Ein Paar'
Herz,8,Kreuz,9,Karo,8,Herz,5,Kreuz,10,'Ein Paar'
Kreuz,2,Herz,11,Pik,8,Kreuz,8,Pik,4,'Ein Paar'
Pik,13,Pik,2,Herz,10,Kreuz,7,Pik,11,'Hoechste Karte'
Kreuz,12,Karo,9,Kreuz,8,Kreuz,10,Kreuz,13,'Hoechste Karte'
Karo,12,Herz,10,Kreuz,11,Karo,5,Kreuz,9,'Hoechste Karte'
Kreuz,10,Karo,11,Pik,4,Kreuz,7,Karo,7,'Ein Paar'
Kreuz,6,Herz,1,Kreuz,11,Herz,5,Herz,9,'Hoechste Karte'
Karo,4,Herz,11,Kreuz,10,Kreuz,1,Karo,13,'Hoechste Karte'
Herz,8,Kreuz,2,Karo,11,Pik,6,Karo,2,'Ein Paar'
Karo,11,Kreuz,5,Kreuz,2,Pik,5,Pik,4,'Ein Paar'
Herz,1,Karo,11,Pik,11,Karo,4,Herz,4,'Zwei Paar'
Karo,9,Herz,13,Karo,13,Pik,1,Pik,7,'Ein Paar'
Kreuz,2,Karo,5,Karo,7,Pik,6,Kreuz,8,'Hoechste Karte'
Kreuz,7,Pik,12,Herz,4,Herz,10,Karo,2,'Hoechste Karte'
Karo,5,Karo,13,Pik,7,Karo,7,Karo,1,'Ein Paar'
Herz,12,Kreuz,6,Pik,7,Pik,4,Karo,2,'Hoechste Karte'
Karo,13,Pik,5,Herz,11,Pik,2,Karo,1,'Hoechste Karte'
Herz,6,Pik,8,Herz,2,Karo,11,Herz,12,'Hoechste Karte'
Karo,12,Karo,13,Herz,8,Pik,12,Pik,7,'Ein Paar'
Karo,5,Kreuz,7,Kreuz,10,Herz,5,Kreuz,4,'Ein Paar'
Pik,12,Kreuz,3,Herz,5,Pik,6,Kreuz,8,'Hoechste Karte'
Pik,7,Karo,11,Kreuz,2,Kreuz,6,Herz,6,'Ein Paar'
Pik,8,Kreuz,9,Karo,11,Karo,1,Herz,3,'Hoechste Karte'
Karo,1,Kreuz,2,Herz,13,Kreuz,1,Pik,12,'Ein Paar'
Herz,1,Pik,3,Karo,5,Pik,9,Pik,13,'Hoechste Karte'
Herz,12,Karo,2,Kreuz,1,Kreuz,2,Kreuz,3,'Ein Paar'
Karo,4,Herz,11,Pik,4,Pik,13,Pik,11,'Zwei Paar'
Herz,13,Kreuz,10,Pik,9,Pik,5,Kreuz,13,'Ein Paar'
Karo,9,Karo,7,Pik,3,Pik,12,Herz,10,'Hoechste Karte'
Pik,6,Pik,4,Pik,5,Kreuz,3,Kreuz,10,'Hoechste Karte'
Kreuz,2,Karo,4,Herz,2,Kreuz,4,Pik,13,'Zwei Paar'
Pik,9,Karo,11,Herz,11,Herz,9,Karo,9,'Full House'
Karo,2,Kreuz,7,Kreuz,4,Karo,10,Pik,6,'Hoechste Karte'
Karo,8,Karo,7,Karo,13,Kreuz,4,Herz,3,'Hoechste Karte'
Kreuz,1,Herz,4,Herz,5,Kreuz,11,Herz,9,'Hoechste Karte'
Pik,1,Herz,9,Herz,13,Herz,3,Kreuz,5,'Hoechste Karte'
Pik,11,Pik,7,Kreuz,3,Pik,6,Karo,4,'Hoechste Karte'
Karo,2,Karo,3,Herz,4,Pik,3,Herz,10,'Ein Paar'
Pik,4,Karo,12,Herz,7,Karo,4,Herz,4,Drilling
Kreuz,11,Kreuz,13,Karo,13,Pik,10,Karo,12,'Ein Paar'
Kreuz,8,Pik,12,Karo,8,Pik,4,Pik,3,'Ein Paar'
Karo,4,Karo,10,Herz,3,Karo,5,Pik,11,'Hoechste Karte'
Karo,6,Herz,13,Pik,6,Pik,7,Kreuz,12,'Ein Paar'
Karo,13,Pik,12,Herz,6,Kreuz,11,Kreuz,1,'Hoechste Karte'
Pik,4,Pik,6,Karo,8,Herz,1,Karo,4,'Ein Paar'
Herz,6,Kreuz,2,Kreuz,4,Kreuz,7,Kreuz,1,'Hoechste Karte'
Pik,9,Kreuz,12,Karo,4,Kreuz,3,Kreuz,8,'Hoechste Karte'
Pik,2,Herz,10,Pik,7,Karo,6,Herz,13,'Hoechste Karte'
Pik,11,Pik,2,Karo,6,Kreuz,12,Pik,12,'Ein Paar'
Kreuz,10,Herz,12,Herz,4,Karo,10,Herz,7,'Ein Paar'
Pik,2,Herz,4,Pik,5,Pik,1,Karo,9,'Hoechste Karte'
Pik,3,Kreuz,4,Karo,8,Karo,10,Herz,13,'Hoechste Karte'
Pik,5,Herz,1,Kreuz,5,Karo,9,Herz,12,'Ein Paar'
